BirthRt,DeathRt,InfMort,LExpM,LExpF,Region,GNP,Country,GNP
12.0,12.4,7.6,69.8,75.9,1,1690,Former_E._Germany,1690
14.0,9.0,20.2,68.6,74.5,1,1690,Yugoslavia,1690
31.7,8.7,48.0,63.1,67.0,4,1690,Lebanon,1690
41.4,16.6,130.0,47.0,49.9,5,1690,Cambodia,1690
23.5,18.1,25.0,66.2,72.7,5,1690,Korea,1690
31.8,9.5,64.0,63.7,67.9,5,1690,Vietnam,1690
12.5,9.5,7.1,73.9,80.0,3,34064,Switzerland,34064
13.2,10.1,5.8,70.7,78.7,3,26040,Finland,26040
9.9,6.7,4.5,75.9,81.8,3,25430,Japan,25430
14.5,11.1,5.6,74.2,80.0,3,23660,Sweden,23660
14.3,10.7,7.8,67.2,75.7,3,23120,Norway,23120
11.4,11.2,7.4,71.8,78.4,3,22320,Germany,22320
12.4,11.9,7.5,71.8,77.7,3,22080,Denmark,22080
16.7,8.1,9.1,71.5,78.3,3,21790,U.S.A.,21790
14.5,7.3,7.2,73.0,79.8,3,20470,Canada,20470
22.8,3.8,26.0,68.6,72.9,4,19860,United_Arab_Emirates,19860
13.6,9.4,7.4,72.3,80.5,3,19490,France,19490
13.2,8.6,7.1,73.3,79.9,3,17320,Netherlands,17320
14.9,7.4,8.0,73.3,79.6,3,17000,Austria,17000
9.7,9.1,8.8,72.0,78.6,3,16830,Italy,16830
26.8,2.2,15.6,71.2,75.4,4,16150,Kuwait,16150
13.6,11.5,8.4,72.2,77.9,3,16100,U.K.,16100
12.0,10.6,7.9,70.0,76.8,3,15540,Belgium,15540
11.7,4.9,6.1,74.3,80.1,5,14210,Hong_Kong,14210
17.8,5.2,7.5,68.7,74.0,5,11160,Singapore,11160
10.7,8.2,8.1,72.5,78.6,3,11020,Spain,11020
22.3,6.3,9.7,73.9,77.4,4,10920,Israel,10920
15.1,9.1,7.5,71.0,76.7,3,9550,Ireland,9550
11.9,9.5,13.1,66.5,72.4,3,7600,Portugal,7600
42.1,7.6,71.0,61.7,65.2,4,7050,Saudi_Arabia,7050
28.4,3.8,16.0,66.8,69.4,4,6340,Bahrain,6340
10.1,9.2,11.0,65.4,74.0,3,5990,Greece,5990
44.0,9.4,82.0,59.1,62.6,6,5310,Libya,5310
45.6,7.8,40.0,62.2,65.8,4,5220,Oman,5220
42.6,7.8,69.0,63.0,64.8,4,3020,Iraq,3020
13.4,11.7,11.3,71.8,77.7,1,2980,Czechoslovakia,2980
11.6,13.4,14.8,65.4,73.8,1,2780,Hungary,2780
28.6,7.9,63.0,62.3,67.6,2,2680,Brazil,2680
18.0,9.6,21.9,68.4,74.9,2,2560,Uruguay,2560
27.5,4.4,23.3,66.7,72.8,2,2560,Venezuela,2560
32.1,9.9,72.0,57.5,63.5,6,2530,South_Africa,2530
29.0,23.2,43.0,62.1,66.0,2,2490,Mexico,2490
42.5,11.5,108.1,55.8,55.0,4,2490,Iran,2490
20.7,8.4,25.7,65.5,72.7,2,2370,Argentina,2370
31.6,5.6,24.0,67.5,71.6,5,2320,Malaysia,2320
12.5,11.9,14.4,68.3,74.7,1,2250,Bulgaria,2250
17.7,10.0,23.0,64.6,74.0,1,2242,USSR,2242
35.5,8.3,74.0,61.6,63.3,6,2060,Algeria,2060
48.5,11.6,67.0,52.3,59.7,6,2040,Botswana,2040
23.4,5.8,17.1,68.1,75.1,2,1940,Chile,1940
15.2,9.5,13.1,66.4,75.9,1,1880,Byelorussian_SSR,1880
14.3,10.2,16.0,67.2,75.7,1,1690,Poland,1690
13.6,10.7,26.9,66.5,72.4,1,1640,Romania,1640
29.2,8.4,76.0,62.5,65.8,4,1630,Turkey,1630
31.1,7.3,52.0,64.9,66.4,6,1440,Tunisia,1440
22.3,7.7,28.0,63.8,68.9,5,1420,Thailand,1420
13.4,11.6,13.0,66.4,74.8,1,1320,Ukrainian_SSR,1320
27.4,6.1,40.0,63.4,69.2,2,1260,Columbia,1260
38.9,6.4,44.0,64.2,67.8,4,1240,Jordan,1240
32.9,8.3,109.9,56.8,66.5,2,1160,Peru,1160
34.8,6.6,42.0,64.4,68.5,2,1110,Paraguay,1110
44.0,12.1,135.0,55.0,57.5,6,1030,Namibia,1030
46.1,14.6,73.0,50.1,55.3,6,1010,Congo,1010
32.9,7.4,63.0,63.4,67.6,2,980,Ecuador,980
35.5,9.8,82.0,59.1,62.5,6,960,Morocco,960
46.8,12.5,118.0,42.9,49.5,6,810,Swaziland,810
33.2,7.7,45.0,62.5,66.1,5,730,Philippines,730
41.7,10.3,66.0,56.5,60.1,6,640,Zimbabwe,640
46.6,18.0,111.0,51.0,55.4,2,630,Bolivia,630
47.2,20.2,137.0,42.9,46.1,6,610,Angola,610
24.7,5.7,30.8,69.6,75.5,1,600,Albania,600
38.8,9.5,49.4,57.8,60.3,6,600,Egypt,600
28.6,9.4,75.0,58.5,62.0,5,570,Indonesia,570
44.6,15.8,108.0,48.6,51.0,6,480,Sudan,480
21.3,6.2,19.4,67.8,71.7,5,470,Sri_Lanka,470
51.1,13.7,80.0,50.4,52.5,6,420,Zambia,420
39.4,16.8,103.0,49.9,53.2,6,390,Gabon,390
44.4,13.1,90.0,52.2,55.8,6,390,Ghana,390
21.2,6.7,32.0,68.0,70.9,5,380,China,380
30.3,8.1,107.7,59.0,59.2,5,380,Pakistan,380
47.0,11.3,72.0,56.5,60.5,6,370,Kenya,370
48.5,15.6,105.0,48.8,52.2,6,360,Nigeria,360
30.5,10.2,91.0,52.5,52.1,5,350,India,350
28.3,7.3,56.0,60.4,66.1,2,330,Guyana,330
47.4,21.4,143.0,41.4,44.6,6,260,Gambia,260
48.2,23.4,154.0,39.4,42.6,6,240,Sierra_Leone,240
52.2,15.6,103.0,49.9,52.7,6,220,Uganda,220
45.6,14.2,83.0,50.3,53.7,6,220,Zaire,220
42.2,15.5,119.0,56.9,56.0,5,210,Bangladesh,210
48.3,25.0,130.0,38.1,41.2,6,200,Malawi,200
39.6,14.8,128.0,50.9,48.1,5,170,Nepal,170
40.4,18.7,181.6,41.0,42.0,5,168,Afghanistan,168
48.6,20.7,137.0,42.4,45.6,6,120,Ethiopia,120
50.1,20.2,132.0,43.4,46.6,6,120,Somalia,120
36.1,8.8,68.0,60.0,62.5,5,110,Mongolia,110
50.5,14.0,106.0,51.3,54.7,6,110,Tanzania,110
45.0,18.5,141.0,44.9,48.1,6,80,Mozambique,80
