Prescott,Phoenix
30.05,0.91
30.63,1.05
31.17,1.07
32.74,1.82
34.58,2.21
35.19,2.52
35.24,2.58
35.47,3.53
35.54,4.12
35.74,4.38
35.81,4.41
35.81,4.43
35.95,4.64
35.97,5.2
36.97,5.63
37.05,5.89
37.17,6.36
37.23,6.95
37.95,7.15
38.12,7.31
38.43,7.49
38.57,7.85
38.76,7.97
38.92,8.45
39.08,8.81
39.15,9.04
39.72,9.13
40.02,9.25
40.11,9.39
41.2,9.91
41.57,9.98
41.6,10.4
41.61,10.48
41.8,10.75
42.11,11
42.46,11.06
42.74,11.16
42.9,11.72
42.96,11.9
43.59,12.12
43.7,12.29
43.77,12.46
44.03,13.21
44.18,13.3
44.56,13.32
44.73,13.41
44.94,13.44
44.98,14.18
44.99,14.58
45.23,14.72
45.32,14.81
45.34,15.01
45.43,15.2
45.46,15.38
45.5,15.59
45.53,15.77
45.96,15.8
46.11,15.83
46.11,15.93
46.22,16.17
46.36,17.78
46.43,17.98
46.46,18.12
46.62,18.55
46.64,19.02
46.79,19.1
46.89,19.27
46.94,19.42
46.99,19.65
47.1,20.01
47.21,20.37
47.22,20.47
47.22,20.66
47.28,20.84
47.36,21.4
47.54,21.74
47.55,22.1
47.6,22.2
47.61,22.4
47.79,22.72
47.81,22.87
47.89,22.97
47.99,23.06
48.04,23.08
48.09,23.66
48.13,23.69
48.15,24.01
48.18,24.02
48.31,24.04
48.58,24.16
48.7,24.47
48.84,24.62
48.99,24.83
49.09,24.86
49.13,24.88
49.16,24.92
49.19,24.92
49.29,24.98
49.3,25.38
49.34,25.47
49.49,25.69
49.58,25.91
49.6,25.92
49.67,26
49.69,26.04
49.75,26.09
49.83,26.11
49.92,26.16
50,26.49
50.04,26.53
50.05,26.86
50.12,27.08
50.22,27.28
50.26,27.58
50.37,27.83
50.46,27.93
50.54,28.24
50.63,28.29
50.87,28.62
50.87,28.77
50.89,28.82
50.91,28.89
50.91,28.95
51.04,29.13
51.08,29.16
51.13,29.51
51.41,29.59
51.49,29.75
51.56,29.76
51.73,30.06
51.75,30.18
51.88,30.18
51.91,30.42
51.94,30.71
52.04,30.71
52.59,30.76
52.61,30.85
52.88,30.96
52.89,31.08
52.94,31.33
52.95,31.98
53.1,31.99
53.3,32.4
53.31,32.89
53.33,34.05
53.49,34.14
53.58,34.18
53.71,34.52
53.87,34.61
54,35.02
54.17,35.22
54.41,35.3
54.51,35.37
54.7,35.47
54.7,35.68
54.75,35.91
54.86,36.01
54.96,36.06
55.23,36.29
55.26,36.46
55.37,36.7
55.44,36.93
55.5,37.44
55.81,37.46
55.99,37.88
56.05,38.24
56.06,39.14
56.33,39.45
56.41,39.48
56.47,39.54
56.7,40.15
56.85,40.26
56.86,40.78
57.29,41.08
57.32,41.14
57.32,42.66
57.62,43.02
57.78,43.56
57.88,43.92
58.46,44.62
58.5,45.33
58.66,45.84
58.81,46.55
58.93,46.59
59.08,47.87
59.24,48.69
59.72,50.33
59.75,50.61
59.97,51.26
60.32,51.28
60.37,51.6
60.58,52.31
60.69,52.6
60.7,52.99
61.02,53.8
61.02,54.24
61.08,54.71
61.14,55.68
61.33,56.15
61.36,56.28
61.41,56.79
61.43,57.16
61.89,57.92
61.94,57.92
62.06,59.71
62.13,59.94
62.68,60.89
62.85,62.56
63.24,65.75
63.39,67.24
64.45,69.25
64.82,72.18
67,72.58
67.5,73.4
67.62,74.39
70.37,78.85
71.09,87.8
